game_id,start_date,game_status,team_type,team_name,team_score,opponent_name,opponent_score,venue,city,state,over_pick_percent,under_pick_percent,betmgm_opening_over_odds,betmgm_opening_under_odds,betmgm_opening_total,betmgm_current_over_odds,betmgm_current_under_odds,betmgm_current_total,fanduel_opening_over_odds,fanduel_opening_under_odds,fanduel_opening_total,fanduel_current_over_odds,fanduel_current_under_odds,fanduel_current_total,caesars_opening_over_odds,caesars_opening_under_odds,caesars_opening_total,caesars_current_over_odds,caesars_current_under_odds,caesars_current_total,bet365_opening_over_odds,bet365_opening_under_odds,bet365_opening_total,bet365_current_over_odds,bet365_current_under_odds,bet365_current_total,draftkings_opening_over_odds,draftkings_opening_under_odds,draftkings_opening_total,draftkings_current_over_odds,draftkings_current_under_odds,draftkings_current_total,bet_rivers_ny_opening_over_odds,bet_rivers_ny_opening_under_odds,bet_rivers_ny_opening_total,bet_rivers_ny_current_over_odds,bet_rivers_ny_current_under_odds,bet_rivers_ny_current_total
355438,2025-03-19T22:40:00+00:00,Final,away,Mount St. Mary's,83,American U.,72,UD Arena,Dayton,OH,37.79193205944799,62.20806794055201,,,,,,,-135.0,-120.0,67.5,-125.0,-125.0,68.5,,,,,,,,,,,,,-115,-115,70.5,-120,-115,69.5,-117,-114,69.5,-122,-118,75.5
355438,2025-03-19T22:40:00+00:00,Final,home,American U.,72,Mount St. Mary's,83,UD Arena,Dayton,OH,37.79193205944799,62.20806794055201,,,,,,,-135.0,-120.0,67.5,-125.0,-125.0,68.5,,,,,,,,,,,,,-115,-115,70.5,-120,-115,69.5,-117,-114,69.5,-122,-118,75.5
356319,2025-03-19T23:00:00+00:00,Final,away,Dayton,86,Florida Atlantic,79,Eleanor R. Baldwin Arena,Boca Raton,FL,55.58510638297872,44.41489361702128,,,,,,,,,,,,,,,,,,,,,,,,,-110,-120,80.5,-120,-110,78.5,-118,-124,79.5,-125,-117,82.0
356319,2025-03-19T23:00:00+00:00,Final,home,Florida Atlantic,79,Dayton,86,Eleanor R. Baldwin Arena,Boca Raton,FL,55.58510638297872,44.41489361702128,,,,,,,,,,,,,,,,,,,,,,,,,-110,-120,80.5,-120,-110,78.5,-118,-124,79.5,-125,-117,82.0
356322,2025-03-19T23:00:00+00:00,Final,away,UAB,69,Saint Joseph's,65,Michael J. Hagan '85 Arena,Philadelphia,PA,51.59574468085106,48.40425531914894,,,,,,,,,,,,,,,,,,,,,,,,,-115,-115,83.5,-115,-115,78.5,-117,-114,83.0,-120,-121,75.5
356322,2025-03-19T23:00:00+00:00,Final,home,Saint Joseph's,65,UAB,69,Michael J. Hagan '85 Arena,Philadelphia,PA,51.59574468085106,48.40425531914894,,,,,,,,,,,,,,,,,,,,,,,,,-115,-115,83.5,-115,-115,78.5,-117,-114,83.0,-120,-121,75.5
356318,2025-03-19T23:00:00+00:00,Final,away,Samford,69,George Mason,86,EagleBank Arena,Fairfax,VA,55.25606469002695,44.74393530997305,,,,,,,,,,,,,,,,,,,,,,,,,-125,-110,78.5,-120,-110,76.5,-113,-118,77.5,-124,-118,90.5
356318,2025-03-19T23:00:00+00:00,Final,home,George Mason,86,Samford,69,EagleBank Arena,Fairfax,VA,55.25606469002695,44.74393530997305,,,,,,,,,,,,,,,,,,,,,,,,,-125,-110,78.5,-120,-110,76.5,-113,-118,77.5,-124,-118,90.5
356313,2025-03-20T00:00:00+00:00,Final,away,Furman,64,North Texas,75,UNT Coliseum,Denton,TX,65.75682382133995,34.24317617866005,,,,,,,,,,,,,,,,,,,,,,,,,-110,-120,70.5,-120,-110,71.5,-115,-115,70.0,-122,-120,74.5
356313,2025-03-20T00:00:00+00:00,Final,home,North Texas,75,Furman,64,UNT Coliseum,Denton,TX,65.75682382133995,34.24317617866005,,,,,,,,,,,,,,,,,,,,,,,,,-110,-120,70.5,-120,-110,71.5,-115,-115,70.0,-122,-120,74.5
356317,2025-03-20T00:00:00+00:00,Final,away,North Alabama,62,Bradley,71,Carver Arena,Peoria,IL,57.75401069518716,42.24598930481284,,,,,,,,,,,,,,,,,,,,,,,,,-120,-115,75.5,-120,-110,69.5,-118,-113,75.5,-114,-127,75.5
356317,2025-03-20T00:00:00+00:00,Final,home,Bradley,71,North Alabama,62,Carver Arena,Peoria,IL,57.75401069518716,42.24598930481284,,,,,,,,,,,,,,,,,,,,,,,,,-120,-115,75.5,-120,-110,69.5,-118,-113,75.5,-114,-127,75.5
356314,2025-03-20T01:00:00+00:00,Final,away,Northern Iowa,63,SMU,73,Moody Coliseum,Dallas,TX,54.089709762532976,45.91029023746702,,,,,,,,,,,,,,,,,,,,,,,,,-115,-115,78.5,-115,-115,82.5,-120,-122,77.0,-122,-120,79.5
356314,2025-03-20T01:00:00+00:00,Final,home,SMU,73,Northern Iowa,63,Moody Coliseum,Dallas,TX,54.089709762532976,45.91029023746702,,,,,,,,,,,,,,,,,,,,,,,,,-115,-115,78.5,-115,-115,82.5,-120,-122,77.0,-122,-120,79.5
355437,2025-03-20T01:18:00+00:00,Final,away,Xavier,86,Texas,80,UD Arena,Dayton,OH,55.57986870897156,44.42013129102845,,,,,,,-130.0,-125.0,78.5,-130.0,-125.0,79.5,,,,,,,,,,,,,-110,-120,82.5,-110,-120,79.5,-117,-124,79.5,-115,-125,80.5
355437,2025-03-20T01:18:00+00:00,Final,home,Texas,80,Xavier,86,UD Arena,Dayton,OH,55.57986870897156,44.42013129102845,,,,,,,-130.0,-125.0,78.5,-130.0,-125.0,79.5,,,,,,,,,,,,,-110,-120,82.5,-110,-120,79.5,-117,-124,79.5,-115,-125,80.5
356320,2025-03-20T02:00:00+00:00,Final,away,Northern CO,72,UC Irvine,82,Bren Events Center,Irvine,CA,61.855670103092784,38.144329896907216,,,,,,,,,,,,,,,,,,,,,,,,,-125,-110,80.5,-125,-105,86.5,-121,-110,81.0,-127,-114,74.0
356320,2025-03-20T02:00:00+00:00,Final,home,UC Irvine,82,Northern CO,72,Bren Events Center,Irvine,CA,61.855670103092784,38.144329896907216,,,,,,,,,,,,,,,,,,,,,,,,,-125,-110,80.5,-125,-105,86.5,-121,-110,81.0,-127,-114,74.0
356326,2025-03-20T03:00:00+00:00,Final,away,Utah Valley,70,San Francisco,79,War Memorial at the Sobrato Center,San Francisco,CA,62.562814070351756,37.437185929648244,,,,,,,,,,,,,,,,,,,,,,,,,-120,-110,77.5,-120,-110,85.5,-118,-113,78.5,-127,-115,74.0
356326,2025-03-20T03:00:00+00:00,Final,home,San Francisco,79,Utah Valley,70,War Memorial at the Sobrato Center,San Francisco,CA,62.562814070351756,37.437185929648244,,,,,,,,,,,,,,,,,,,,,,,,,-120,-110,77.5,-120,-110,85.5,-118,-113,78.5,-127,-115,74.0
356325,2025-03-20T03:00:00+00:00,Final,away,Loyola-Chicago,73,San Jose St.,70,Provident Credit Union Event Center,San Jose,CA,56.67506297229219,43.32493702770781,,,,,,,,,,,,,,,,,,,,,,,,,-110,-120,76.5,-115,-120,80.5,-115,-115,75.5,-124,-118,72.5
356325,2025-03-20T03:00:00+00:00,Final,home,San Jose St.,70,Loyola-Chicago,73,Provident Credit Union Event Center,San Jose,CA,56.67506297229219,43.32493702770781,,,,,,,,,,,,,,,,,,,,,,,,,-110,-120,76.5,-115,-120,80.5,-115,-115,75.5,-124,-118,72.5
